latitude,longitude
40.7333257,-73.9919716
40.5976764,-73.9648334
40.5931351,-73.9695598
40.7156995,-73.8038636
40.7259785,-73.7235474
40.6796887,-73.8563626
40.8400498,-73.8536456
40.6786402,-73.9219237
40.6241269,-74.1428874
40.5942795,-74.1052209
40.735291,-73.8992184
40.5560102,-74.1305062
40.7171402,-73.9648028
40.7122622,-73.9427515
40.6821478,-73.9781111
40.5645049,-74.1848122
40.5201622,-74.208921
40.5232974,-74.2055677
40.6491518,-74.0090057
40.5137049,-74.2418224
40.8713187,-73.915077
40.8930545,-73.8594534
40.6043734,-73.9639331
40.7312826,-73.9829479
40.7240793,-73.9507036
40.5719802,-74.0930553
40.6748546,-73.8537413
40.7929614,-73.9506635
40.8116231,-73.9514516
40.8324582,-73.8970476
40.8423372,-73.8657986
40.7351106,-73.9578941
40.7281384,-73.8646792
40.7925271,-73.8116692
40.6072894,-73.9788235
40.9052545,-73.8506079
40.7825265,-73.8416285
40.6081039,-73.975211
40.734454,-74.0021217
40.71048,-73.8304664
40.7038375,-73.8060517
40.5140717,-74.2383891
40.7481523,-73.9865274
40.7688918,-73.830917
40.8738701,-73.903116
40.88347,-73.8617159
40.5770185,-74.1069936
40.7484061,-73.9064817
40.7718068,-73.8987805
40.7756901,-73.9539871
40.8357816,-73.8534418
40.5152034,-74.2445036
40.7414257,-73.9996536
40.8411185,-73.8266278
40.8462682,-73.8639148
40.7226708,-73.9974422
40.7998154,-73.9673018
40.7686972,-73.9557032
40.6710593,-73.904009
40.6635622,-73.8963531
40.784491,-73.9760553
40.6640116,-73.8925316
40.6640802,-73.8925459
40.6901971,-73.9088387
40.7502638,-73.9972931
40.6718253,-73.9818924
40.684091,-73.9214486
40.801539,-73.9668134
40.8042017,-73.9681666
40.6806185,-73.8907634
40.7672149,-73.9553468
40.7757671,-73.9541712
40.6689612,-73.8934284
40.7805162,-73.9494667
40.7742193,-73.9626063
40.8110881,-73.9402353
40.51823,-74.2276068
40.8800316,-73.8429548
40.8169862,-73.945035
40.8441881,-73.9430897
40.8442676,-73.9428728
40.7757799,-73.9796401
40.8086408,-73.8526815
40.87563,-73.9106745
40.8625368,-73.9245458
40.8024082,-73.9381517
40.6586639,-73.8976006
40.5925859,-73.8029146
40.8145468,-73.9600621
40.6725885,-73.8808521
40.8581869,-73.929684
40.6698342,-73.7824741
40.7829469,-73.8419705
40.8036395,-73.9469171
40.8325245,-73.8803922
40.8407507,-73.9224888
40.7166762,-73.9953718
40.8073961,-73.9511729
40.8108896,-73.9205873
40.81943,-73.9150204
40.8215666,-73.9130702
40.8305719,-73.9092932
40.7990119,-73.9696933
40.848479,-73.939598
40.811256,-73.9043379
40.6095354,-73.7691898
40.8252424,-73.8971527
40.8232349,-73.9160453
40.8515601,-73.9372963
40.8095102,-73.9040622
40.8815752,-73.841718
40.6580504,-73.9089691
40.835534,-73.9240126
40.5370783,-74.144975
40.6719669,-73.8850566
40.8292763,-73.905714
40.8170756,-73.8987983
40.6084949,-73.7690962
40.8300769,-73.8982763
40.8297015,-73.8959353
40.5364443,-74.1470818
40.5595903,-74.1955845
40.8766978,-73.9107201
40.5188429,-74.2313315
40.8165645,-73.911433
40.8228507,-73.9089604
40.8255627,-73.8961152
40.8282635,-73.8931841
40.8300729,-73.8938859
40.8292813,-73.892608
40.559678,-74.1956747
40.7549779,-73.9693487
40.5602021,-74.1957914
40.8494371,-73.8971334
40.8181329,-73.9093463
40.8205331,-73.9041909
40.8276976,-73.8926322
40.835383,-73.8871088
40.8328698,-73.8798857
40.8344264,-73.8856179
40.8333566,-73.8862521
40.8504711,-73.9128879
40.8381348,-73.9040065
40.8593705,-73.8915182
40.8545338,-73.8909188
40.819737,-73.9040367
40.8186046,-73.8899625
40.8218281,-73.891247
40.834819,-73.8857473
40.8324012,-73.8946952
40.8548266,-73.884361
40.8141303,-73.9016785
40.7887601,-73.9690298
40.7070963,-73.8572378
40.8133844,-73.887399
40.8339896,-73.8852537
40.778884,-73.9787978
40.787604,-73.9783111
40.8310664,-73.8557974
40.830115,-73.897886
40.852884,-73.8492688
40.8453779,-73.8885014
40.5784017,-73.9624568
40.8490144,-73.8855097
40.9086863,-73.913347
40.8546312,-73.9049081
40.7746699,-73.7434234
40.8754356,-73.8807924
40.8315367,-73.8522731
40.8499869,-73.8342387
40.6527913,-73.9282572
40.7887107,-73.9689143
40.8142686,-73.8625244
40.8384725,-73.8458718
40.8400817,-73.846468
40.8521464,-73.8300764
40.8520327,-73.859851
40.8495941,-73.8832785
40.8446705,-73.8837498
40.8277969,-73.8133544
40.8599061,-73.9011444
40.8615083,-73.9002599
40.8194129,-73.8630268
40.8257805,-73.8749772
40.8392874,-73.8498706
40.8410499,-73.8501016
40.6178689,-73.9711154
40.860268,-73.8563016
40.8451068,-73.8809551
40.8600688,-73.8327314
40.6486594,-73.9689687
40.8634988,-73.8565694
40.8448264,-73.8805111
40.7891015,-73.8329024
40.8555005,-73.9073071
40.8551013,-73.9091802
40.8651438,-73.9053594
